symbol,turnover
360ONE,499.0
3MINDIA,498.0
ABB,497.0
ACC,496.0
ACMESOLAR,495.0
AIAENG,494.0
APLAPOLLO,493.0
AUBANK,492.0
AWL,491.0
AADHARHFC,490.0
AARTIIND,489.0
AAVAS,488.0
ABBOTINDIA,487.0
ACE,486.0
ADANIENSOL,485.0
ADANIENT,484.0
ADANIGREEN,483.0
ADANIPORTS,482.0
ADANIPOWER,481.0
ATGL,480.0
ABCAPITAL,479.0
ABFRL,478.0
ABLBL,477.0
ABREL,476.0
ABSLAMC,475.0
AEGISLOG,474.0
AEGISVOPAK,473.0
AFCONS,472.0
AFFLE,471.0
AJANTPHARM,470.0
AKUMS,469.0
AKZOINDIA,468.0
APLLTD,467.0
ALKEM,466.0
ALKYLAMINE,465.0
ALOKINDS,464.0
ARE&M,463.0
AMBER,462.0
AMBUJACEM,461.0
ANANDRATHI,460.0
ANANTRAJ,459.0
ANGELONE,458.0
APARINDS,457.0
APOLLOHOSP,456.0
APOLLOTYRE,455.0
APTUS,454.0
ASAHIINDIA,453.0
ASHOKLEY,452.0
ASIANPAINT,451.0
ASTERDM,450.0
ASTRAZEN,449.0
ASTRAL,448.0
ATHERENERG,447.0
ATUL,446.0
AUROPHARMA,445.0
AIIL,444.0
DMART,443.0
AXISBANK,442.0
BASF,441.0
BEML,440.0
BLS,439.0
BSE,438.0
BAJAJ-AUTO,437.0
BAJFINANCE,436.0
BAJAJFINSV,435.0
BAJAJHLDNG,434.0
BAJAJHFL,433.0
BALKRISIND,432.0
BALRAMCHIN,431.0
BANDHANBNK,430.0
BANKBARODA,429.0
BANKINDIA,428.0
MAHABANK,427.0
BATAINDIA,426.0
BAYERCROP,425.0
BERGEPAINT,424.0
BDL,423.0
BEL,422.0
BHARATFORG,421.0
BHEL,420.0
BPCL,419.0
BHARTIARTL,418.0
BHARTIHEXA,417.0
BIKAJI,416.0
BIOCON,415.0
BSOFT,414.0
BLUEDART,413.0
BLUEJET,412.0
BLUESTARCO,411.0
BBTC,410.0
BOSCHLTD,409.0
FIRSTCRY,408.0
