Company Name,Symbol,Token
Adani Enterprises Ltd.,ADANIENT,25
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,15083
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,157
Asian Paints Ltd.,ASIANPAINT,236
Axis Bank Ltd.,AXISBANK,5900
Bajaj Auto Ltd.,BAJAJ-AUTO,16669
Bajaj Finance Ltd.,BAJFINANCE,317
Bajaj Finserv Ltd.,BAJAJFINSV,16675
Bharat Electronics Ltd.,BEL,383
Bharti Airtel Ltd.,BHARTIARTL,10604
Cipla Ltd.,CIPLA,694
Coal India Ltd.,COALINDIA,20374
Dr. Reddy's Laboratories Ltd.,DRREDDY,881
Eicher Motors Ltd.,EICHERMOT,910
Grasim Industries Ltd.,GRASIM,1232
HCL Technologies Ltd.,HCLTECH,7229
HDFC Bank Ltd.,HDFCBANK,1333
HDFC Life Insurance Company Ltd.,HDFCLIFE,467
Hero MotoCorp Ltd.,HEROMOTOCO,1348
Hindalco Industries Ltd.,HINDALCO,1363
Hindustan Unilever Ltd.,HINDUNILVR,1394
ICICI Bank Ltd.,ICICIBANK,4963
ITC Ltd.,ITC,1660
IndusInd Bank Ltd.,INDUSINDBK,5258
Infosys Ltd.,INFY,1594
JSW Steel Ltd.,JSWSTEEL,11723
Jio Financial Services Ltd.,JIOFIN,18143
Kotak Mahindra Bank Ltd.,KOTAKBANK,1922
Larsen & Toubro Ltd.,LT,11483
Mahindra & Mahindra Ltd.,M&M,2031
Maruti Suzuki India Ltd.,MARUTI,10999
NTPC Ltd.,NTPC,11630
Nestle India Ltd.,NESTLEIND,17963
Oil & Natural Gas Corporation Ltd.,ONGC,2475
Power Grid Corporation of India Ltd.,POWERGRID,14977
Reliance Industries Ltd.,RELIANCE,2885
SBI Life Insurance Company Ltd.,SBILIFE,21808
Shriram Finance Ltd.,SHRIRAMFIN,4306
State Bank of India,SBIN,3045
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,3351
Tata Consultancy Services Ltd.,TCS,11536
Tata Consumer Products Ltd.,TATACONSUM,3432
Tata Motors Ltd.,TATAMOTORS,3456
Tata Steel Ltd.,TATASTEEL,3499
Tech Mahindra Ltd.,TECHM,13538
Titan Company Ltd.,TITAN,3506
Trent Ltd.,TRENT,1964
UltraTech Cement Ltd.,ULTRACEMCO,11532
Wipro Ltd.,WIPRO,3787
Zomato Ltd.,ZOMATO,5097
