Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
CESC Ltd.,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
DLF Ltd.,Realty,DLF,EQ,INE271C01023
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,INE943P01029
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR,EQ,DUM030A01027
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
LTIMindtree Ltd.,Information Technology,LTM,EQ,INE214T01019
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
